pbp_id,date,tny_name,tour,draw,server1,server2,winner,pbp,score_pbp,adf_flag,wh_minutes,date_dt,year,p1_n,p2_n,winner_n,loser_n,score_n,match_key_local,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score_atp,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,pressure_level,_merge,match_id,rank_gap_abs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7043595,07 Jan 15,AircelChennaiOpen-ATPChennai,ATP,Main,David Goffin,Ricardas Berankis,1,SSSS;RRSRR;SSAS;SRSRRR;SSSA;RSRSRR.RDRSR;SSSS;RSSSRRSA;SRASS;SSAS;SRSSS;DSSAS;SRDRSSRSRSSRSS;RSARSS;RRSSSRSRSS.RSSAS;SRSRSRSS;SSSS;DSSRRSSS;SASDS;RSRSRSSS;RSARRSSRSRAS;SRRSSRRR;DRRR;DSSRSS;SASA;SSSS;S/RR/SS/RS/S,6-0 4-6 7-6(1),1,115,2015-01-07,2015,david goffin,ricardas berankis,david goffin,ricardas berankis,6-0 4-6 7-6(1),8343,2015-891,Chennai,Hard,28.0,A,20150105.0,15.0,105676.0,4.0,,David Goffin,R,180.0,BEL,24.0,105575.0,,,Ricardas Berankis,R,175.0,LTU,24.5,6-0 4-6 7-6(1),3.0,R16,116.0,12.0,4.0,78.0,46.0,38.0,19.0,14.0,2.0,4.0,1.0,4.0,101.0,74.0,48.0,10.0,14.0,6.0,10.0,22.0,1599.0,83.0,605.0,lower,both,7043595,61.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7039964,07 Jan 15,AircelChennaiOpen-ATPChennai,ATP,Main,Stan Wawrinka,Borna Coric,1,SSSRS;RRSSRR;SRRSSS;RRSRR;SSAS;SRRSSRSS;SSSDS.SRRRSSRSSS;ARRSSS;SASS;SSSS;SRSRSS;SSRRSS;SRRRR;RSRASS;RRSSRSRASS;ASSRRS,6-1 6-4,1,71,2015-01-07,2015,stan wawrinka,borna coric,stan wawrinka,borna coric,6-1 6-4,8344,2015-891,Chennai,Hard,28.0,A,20150105.0,13.0,104527.0,1.0,,Stan Wawrinka,R,183.0,SUI,29.7,106432.0,,,Borna Coric,R,188.0,CRO,18.1,6-1 6-4,3.0,R16,71.0,4.0,1.0,48.0,26.0,24.0,12.0,9.0,0.0,0.0,2.0,0.0,54.0,28.0,18.0,11.0,8.0,5.0,8.0,4.0,5120.0,95.0,557.0,lower,both,7039964,91.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7043597,07 Jan 15,AircelChennaiOpen-ATPChennai,ATP,Main,Andreas Haider-Maurer,Jiri Vesely,1,SSSS;SSAS;SSSRS;SSAS;SSRSA;SSRRSS;SSRSRRSS;RSSAS;SDSRSS;ASRRSS;ARRASS;SRSDRSAS;D/SS/DS/SR/RA/A.SSSRS;DSSAS;RSSRRASDSRRR;RRSARR;SRRRR;SSSS;RAASRS;SRSSA;SAAS;SSARRS.SSSA;RRRAASAS;SSSS;SSSRDRAS;RRRD;SSSS;SSSRRRARSS;RSRSAS;SSRRSRSA;SRDSSS,6-7(3) 6-4 6-4,1,125,2015-01-07,2015,andreas haider maurer,jiri vesely,andreas haider maurer,jiri vesely,6-7(3) 6-4 6-4,8345,2015-891,Chennai,Hard,28.0,A,20150105.0,16.0,104890.0,,,Andreas Haider Maurer,R,190.0,AUT,27.7,106210.0,,,Jiri Vesely,L,198.0,CZE,21.4,6-7(3) 6-4 6-4,3.0,R16,126.0,13.0,7.0,97.0,67.0,49.0,18.0,16.0,3.0,4.0,14.0,4.0,100.0,67.0,53.0,13.0,16.0,2.0,5.0,79.0,621.0,65.0,741.0,lower,both,7043597,14.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7047562,08 Jan 15,AircelChennaiOpen-ATPChennai,ATP,Main,Yen-Hsun Lu,Pablo Carreno-Busta,1,SASRS;SRSSRS;RSDDSSSA;RRSRR;RRSRR;ASDRSS;SSSRS;RSRRAASS;SRSSRS;RRSRAR.ARSRRSSS;RSAAS;ASSS;SSSDRRRSSS;ARRSRSAS;RSSRSRSRSRSS;SSRSS;SSSA;SSSA;RRSRR,6-4 6-4,1,73,2015-01-08,2015,yen hsun lu,pablo carreno busta,yen hsun lu,pablo carreno busta,6-4 6-4,8347,2015-891,Chennai,Hard,28.0,A,20150105.0,17.0,104229.0,6.0,,Yen Hsun Lu,R,180.0,TPE,31.3,105807.0,,,Pablo Carreno Busta,R,188.0,ESP,23.4,6-4 6-4,3.0,R16,74.0,7.0,2.0,58.0,39.0,30.0,10.0,10.0,4.0,5.0,7.0,2.0,67.0,48.0,32.0,6.0,10.0,4.0,7.0,38.0,993.0,49.0,841.0,lower,both,7047562,11.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7047563,08 Jan 15,AircelChennaiOpen-ATPChennai,ATP,Main,Roberto Bautista-Agut,Peter Gojowczyk,1,RSSDRSARRSRASS;SRDRR;RSSSS;RSRASS;RRSSRSDR;RASRARRR;SSRSS;ASSA;ASARS.SRSSS;SSRSA;SRRRR;SRRRD;RSSRRSRR;RSSRSS;RSDSRR;RSDRSSSS,6-3 6-2,1,64,2015-01-08,2015,roberto bautista agut,peter gojowczyk,roberto bautista agut,peter gojowczyk,6-3 6-2,8348,2015-891,Chennai,Hard,28.0,A,20150105.0,18.0,105138.0,3.0,,Roberto Bautista Agut,R,183.0,ESP,26.7,105376.0,,,Peter Gojowczyk,R,188.0,GER,25.4,6-3 6-2,3.0,R16,71.0,6.0,4.0,61.0,35.0,23.0,14.0,9.0,6.0,8.0,5.0,2.0,47.0,27.0,16.0,6.0,8.0,1.0,6.0,15.0,2110.0,102.0,539.0,lower,both,7047563,87.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7031538,05 Jan 15,BrisbaneInternational-ATPBrisbane,ATP,Main,Gilles Simon,James Duckworth,2,RRRSSR;SSRRSA;SRRRSR;SSSS;SSRRSRRSSS;SSSRRS;SSSS;SSSRRA.RSRRSR;SASRS;SRRSSS;SRRSRSSA;RARRSSDSARRR;RRSRSR;RRRSSR;SSSS,6-2 6-2,1,66,2015-01-05,2015,gilles simon,james duckworth,james duckworth,gilles simon,6-2 6-2,8349,2015-339,Brisbane,Hard,28.0,A,20150104.0,3.0,105902.0,,WC,James Duckworth,R,183.0,AUS,22.9,104468.0,6.0,,Gilles Simon,R,183.0,FRA,30.0,6-2 6-2,3.0,R32,68.0,4.0,0.0,45.0,27.0,20.0,11.0,8.0,2.0,3.0,2.0,1.0,56.0,37.0,22.0,5.0,8.0,10.0,15.0,125.0,430.0,21.0,1730.0,lower,both,7031538,104.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7031539,05 Jan 15,BrisbaneInternational-ATPBrisbane,ATP,Main,Andrey Golubev,Jeremy Chardy,2,SASRA;SSSRRS;SRSAS;ASSS;RRSSAS;SSSS;SRSSS;SRRSSDSRSS;SSARRRRD;SSAS.ASRDSS;SSSS;RSRSSS;SSSRRS;ASSA;AASA;RSRARSRR;SASRS;SSSS;ARSSRS,6-4 6-4,1,68,2015-01-05,2015,andrey golubev,jeremy chardy,jeremy chardy,andrey golubev,6-4 6-4,8350,2015-339,Brisbane,Hard,28.0,A,20150104.0,4.0,104871.0,,,Jeremy Chardy,R,188.0,FRA,27.8,104979.0,,,Andrey Golubev,R,180.0,KAZ,27.4,6-4 6-4,3.0,R32,69.0,7.0,1.0,53.0,39.0,31.0,11.0,10.0,0.0,0.0,9.0,2.0,57.0,38.0,30.0,8.0,10.0,1.0,3.0,31.0,1195.0,72.0,691.0,lower,both,7031539,41.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7031543,05 Jan 15,BrisbaneInternational-ATPBrisbane,ATP,Main,Thanasi Kokkinakis,Julien Benneteau,1,RSRRSR;SSRSS;SSRSRS;RDARR;SSSA;SARSS;RSADSRSA;SSARRS;SRSSS;SRSRRR.SASS;SSSS;RRSSAA;RSSRSRSS;SSSA;RRRAR;SRSSS;SSDRSRAS;SASA,6-4 6-3,1,74,2015-01-05,2015,thanasi kokkinakis,julien benneteau,thanasi kokkinakis,julien benneteau,6-4 6-3,8351,2015-339,Brisbane,Hard,28.0,A,20150104.0,10.0,106423.0,,WC,Thanasi Kokkinakis,R,193.0,AUS,18.7,103898.0,8.0,,Julien Benneteau,R,185.0,FRA,33.0,6-4 6-3,3.0,R32,75.0,9.0,1.0,52.0,30.0,25.0,14.0,10.0,1.0,2.0,5.0,3.0,52.0,33.0,23.0,7.0,9.0,1.0,4.0,149.0,341.0,25.0,1365.0,lower,both,7031543,124.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7031544,05 Jan 15,BrisbaneInternational-ATPBrisbane,ATP,Main,Bernard Tomic,Sam Querrey,1,RRRSR;SRSSA;RSSRSS;SSAS;SSSS;AAAA;RRSSSRSRRSSA;ASSA;SSSS;RRRR;SSSS;RRDR.SRSSS;RSSSA;SSRRSS;RSSAS;SSAA;RSSSRS;RRSSRSRSSRSS;SARDRSDARSRSAS;SSSS;ASAA;SSRSS;SSARA;A/SS/SS/AS/SA/SR/S,7-5 7-6(5),1,83,2015-01-05,2015,bernard tomic,sam querrey,bernard tomic,sam querrey,7-5 7-6(5),8352,2015-339,Brisbane,Hard,28.0,A,20150104.0,11.0,106071.0,,,Bernard Tomic,R,196.0,AUS,22.2,105023.0,,,Sam Querrey,R,198.0,USA,27.2,7-5 7-6(5),3.0,R32,83.0,5.0,0.0,77.0,46.0,36.0,21.0,12.0,4.0,5.0,20.0,3.0,70.0,42.0,35.0,14.0,12.0,4.0,6.0,53.0,797.0,35.0,1090.0,lower,both,7031544,18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7039800,06 Jan 15,BrisbaneInternational-ATPBrisbane,ATP,Main,Lukasz Kubot,Kevin Anderson,1,RSSSDDRR;SSSS;SSSRRS;SSSS;SRDRSSAS;RDSSSS;RASRSRAS;ARSRARRSSRRASS;SRRSAS;ASSRRRSDRR;SSSS;ASAS;S/RS/SS/RS/SR/R.SARRRSRR;SRRRR;SSSA;SSSA;AAARS;SRSRSRRSSS;RDSSSS;SSRARDSS;RRSRAR;RSSRSS,7-6(3) 6-4,1,109,2015-01-06,2015,lukasz kubot,kevin anderson,lukasz kubot,kevin anderson,7-6(3) 6-4,8353,2015-339,Brisbane,Hard,28.0,A,20150104.0,7.0,103997.0,,Q,Lukasz Kubot,R,191.0,POL,32.6,104731.0,5.0,,Kevin Anderson,R,203.0,RSA,28.6,7-6(3) 6-4,3.0,R32,110.0,6.0,5.0,78.0,51.0,35.0,14.0,11.0,3.0,5.0,12.0,3.0,76.0,43.0,30.0,17.0,11.0,4.0,7.0,177.0,282.0,16.0,2080.0,lower,both,7039800,161.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
