Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,2025-04-04 09:45:39,false,"Treadmill Running","6.50","513","00:43:22","149","159","2.7","141","150","6:40","6:20","--","--","1.09","8.6","9.3","339","--","333","0.0","329","343","6,090","-11","--","No","00:04:04.7","7","--","00:42:47","00:43:22","--","--"
Treadmill Running,2025-04-03 19:21:51,false,"Treadmill Running","6.00","517","00:40:03","155","167","3.2","141","150","6:40","6:26","--","--","1.07","8.7","9.3","338","--","325","0.0","316","355","5,648","-8","--","No","00:05:47.2","6","--","00:38:43","00:40:03","--","--"
Treadmill Running,2025-04-02 17:27:09,false,"Treadmill Running","5.00","392","00:33:21","147","159","2.6","142","165","6:40","6:15","--","--","1.10","8.6","9.5","334","--","337","0.0","332","375","4,700","-8","--","No","00:00:51.4","6","--","00:32:42","00:33:21","--","--"
Treadmill Running,2025-03-31 17:47:26,false,"Treadmill Running","5.31","435","00:35:23","150","163","2.9","140","150","6:40","6:17","--","--","1.08","8.4","9.1","347","--","326","0.0","319","345","4,950","-7","--","No","00:01:59.2","6","--","00:34:41","00:35:34","--","--"
Running,2025-03-30 07:53:07,false,"Gölcük - Base","9.02","798","00:59:37","157","170","3.6","145","148","6:37","5:48","48","46","1.04","8.9","9.2","328","6:36","342","0.0","339","474","8,602","-18","--","No","00:00:36.8","10","--","00:59:35","00:59:37","1","25"
Treadmill Running,2025-03-28 17:45:45,false,"Treadmill Running","6.50","533","00:43:23","152","161","2.9","141","220","6:40","6:30","--","--","1.05","8.7","9.1","341","--","315","0.0","307","334","6,096","-8","--","No","00:01:42.4","7","--","00:42:08","00:43:23","--","--"
Running,2025-03-27 08:23:08,false,"Gölcük - Base","8.33","745","00:55:06","160","168","3.5","144","150","6:37","5:24","16","16","1.04","8.9","9.2","329","6:37","336","0.0","334","487","7,936","-17","--","No","00:00:06.1","10","--","00:55:04","00:55:06","2","9"
Running,2025-03-26 07:47:13,false,"Gölcük - Anaerobic","7.43","655","00:48:03","163","175","3.6","146","165","6:28","4:13","26","30","1.05","8.8","9.2","324","6:28","356","0.0","345","589","6,970","-15","--","No","00:00:23.4","19","--","00:48:01","00:48:03","1","26"
Running,2025-03-24 13:00:26,false,"Tuzla - Base","6.61","584","00:43:04","159","170","3.4","144","150","6:31","5:08","36","64","1.07","8.8","9.3","331","6:33","345","0.0","343","544","6,176","-11","--","No","00:00:03.5","8","--","00:43:02","00:43:04","130","169"
Running,2025-03-23 09:18:52,false,"Gölcük - Base","8.04","703","00:53:28","154","169","3.4","144","148","6:39","5:57","49","48","1.04","8.9","9.2","331","6:37","343","0.0","339","496","7,682","-16","--","No","00:01:28.1","9","--","00:53:26","00:53:28","1","24"
Treadmill Running,2025-03-21 10:54:56,false,"Threshold","5.85","503","00:36:10","166","176","3.5","147","155","6:11","4:32","--","--","1.33","7.9","10.5","304","--","431","0.0","430","506","5,296","-11","--","No","00:00:09.8","9","--","00:36:08","00:36:10","--","--"
Running,2025-03-20 10:52:08,false,"Tuzla - Base","5.48","477","00:36:18","155","167","3.2","143","147","6:37","5:23","38","61","1.05","8.8","9.3","333","6:40","337","0.0","334","467","5,188","-10","--","No","00:00:17.5","7","--","00:36:16","00:36:18","129","168"
Running,2025-03-19 07:47:41,false,"Tuzla - Anaerobic","8.28","715","00:53:34","160","172","3.6","146","167","6:28","3:53","54","81","1.05","8.8","9.2","323","6:30","361","0.0","353","597","7,778","-16","--","No","00:00:14.5","21","--","00:53:33","00:53:34","127","168"
Running,2025-03-16 09:23:59,false,"Tuzla Running","6.15","540","00:40:07","160","173","3.4","145","148","6:31","6:05","40","67","1.05","8.8","9.3","327","6:34","345","0.0","341","460","5,788","-12","--","No","00:00:57.3","7","--","00:40:04","00:40:07","130","171"
Running,2025-03-14 10:53:23,false,"Tuzla Running","5.02","443","00:32:41","161","172","3.2","144","148","6:31","5:27","30","59","1.06","8.8","9.3","328","6:35","342","0.0","340","472","4,702","-8","--","No","00:00:06.5","6","--","00:32:38","00:33:00","131","171"
Running,2025-03-13 11:14:20,false,"Tuzla Running","8.26","753","00:55:08","167","177","3.6","144","148","6:40","6:10","55","78","1.03","8.9","9.2","329","6:41","338","0.0","335","456","7,942","-14","--","No","00:01:46.5","9","--","00:55:06","00:55:08","132","170"
Running,2025-03-12 08:21:23,false,"Tuzla Running","6.24","561","00:40:03","165","176","3.5","145","148","6:25","5:51","38","64","1.07","8.8","9.4","325","6:27","350","0.0","347","445","5,784","-13","--","No","00:01:33.4","7","--","00:40:02","00:40:03","129","170"
Running,2025-03-10 15:35:13,false,"Tuzla Running","6.54","580","00:41:03","166","175","3.5","144","148","6:17","5:38","36","65","1.10","8.7","9.5","326","6:18","356","0.0","353","487","5,918","-10","--","No","00:03:19.0","7","--","00:41:01","00:42:45","130","170"
Running,2025-03-05 08:22:16,false,"Tuzla Running","5.03","452","00:31:41","167","177","3.3","146","148","6:18","5:12","30","58","1.09","8.7","9.5","323","6:19","357","0.0","354","458","4,606","-11","--","No","00:00:11.4","6","--","00:31:39","00:31:41","128","167"
Treadmill Running,2025-03-02 16:07:13,false,"Treadmill Running","9.00","803","01:00:07","159","168","3.5","141","150","6:41","5:44","--","--","1.16","8.2","9.5","343","--","341","0.0","299","399","8,448","-13","--","No","00:02:08.7","9","--","00:51:01","01:00:07","--","--"
Treadmill Running,2025-03-01 16:38:56,false,"Treadmill Running","9.50","846","01:00:05","164","175","4.0","142","150","6:20","6:03","--","--","1.12","8.6","9.5","332","--","340","0.0","321","361","8,522","-14","--","No","00:06:02.1","9","--","00:56:29","01:00:05","--","--"
Treadmill Running,2025-02-28 10:59:15,false,"Treadmill Running","5.00","445","00:30:05","170","179","3.6","146","154","6:01","4:41","--","--","1.37","7.8","10.7","306","--","442","0.0","441","503","4,370","-7","--","No","00:00:09.5","7","--","00:30:03","00:30:05","--","--"
Treadmill Running,2025-02-26 09:08:19,false,"Treadmill Running","10.00","905","01:03:13","166","176","4.2","143","152","6:19","6:05","--","--","1.00","9.1","9.0","339","--","310","0.0","282","359","8,990","-19","--","No","00:06:06.3","9","--","00:57:56","01:03:13","--","--"
Treadmill Running,2025-02-23 16:12:37,false,"Treadmill Running","12.34","1,016","01:22:30","155","165","3.4","141","145","6:41","6:12","--","--","1.05","8.6","9.0","349","--","320","0.0","317","375","11,614","-20","--","No","00:01:51.3","13","--","01:22:28","01:22:30","--","--"
Treadmill Running,2025-02-19 09:04:32,false,"Treadmill Running","9.30","901","01:00:03","174","181","4.8","146","155","6:27","5:57","--","--","1.07","8.8","9.4","324","--","344","0.0","339","395","8,728","-19","--","No","00:02:35.1","10","--","00:59:43","01:00:03","--","--"
Treadmill Running,2025-02-16 14:56:11,false,"Treadmill Running","12.00","1,137","01:20:03","167","174","4.7","140","150","6:40","5:58","--","--","1.10","8.1","9.0","354","--","334","0.0","328","385","11,198","-23","--","No","00:02:34.5","13","--","01:19:47","01:20:03","--","--"
Treadmill Running,2025-02-12 17:21:17,false,"Treadmill Running","7.00","586","00:42:05","162","176","3.9","143","148","6:01","5:30","--","--","1.19","8.4","9.9","325","--","373","0.0","371","418","6,014","-9","--","No","00:01:07.0","8","--","00:42:02","00:43:02","--","--"
Treadmill Running,2025-02-11 08:53:06,false,"Treadmill Running","9.50","870","01:00:05","168","176","4.9","143","149","6:20","5:40","--","--","1.06","8.8","9.3","334","--","334","0.0","328","392","8,574","-23","--","No","00:00:55.4","10","--","01:00:03","01:00:05","--","--"
Treadmill Running,2025-02-06 16:42:28,false,"Treadmill Running","10.00","843","01:03:16","160","168","3.8","140","150","6:20","6:12","--","--","1.06","8.3","8.8","356","--","318","0.0","313","357","8,834","-13","--","No","00:02:28.3","10","--","01:02:43","01:03:16","--","--"
Treadmill Running,2025-02-05 17:07:13,false,"Treadmill Running","9.00","807","01:00:04","161","172","4.1","140","144","6:40","6:27","--","--","1.07","8.0","8.5","367","--","314","0.0","310","336","8,362","-14","--","No","00:06:10.0","9","--","00:59:54","01:00:04","--","--"
Treadmill Running,2025-02-02 17:17:14,false,"Treadmill Running","7.00","654","00:46:41","164","172","3.8","140","150","6:40","5:48","--","--","1.17","7.9","9.3","350","--","350","0.0","347","396","6,512","-10","--","No","00:03:45.0","8","--","00:46:21","00:46:41","--","--"
Treadmill Running,2025-01-31 17:32:34,false,"Treadmill Running","5.00","457","00:33:21","160","171","3.5","140","188","6:40","6:07","--","--","1.13","8.0","8.8","357","--","331","0.0","314","362","4,636","-8","--","No","00:06:04.7","5","--","00:32:06","00:33:21","--","--"
Treadmill Running,2025-01-16 09:59:39,false,"Treadmill Running","6.40","564","00:40:31","163","171","3.6","140","150","6:20","6:03","--","--","1.12","8.2","9.1","350","--","336","0.0","332","374","5,662","-14","--","No","00:02:01.2","7","--","00:40:03","00:40:31","--","--"
Treadmill Running,2025-01-15 16:58:16,false,"Treadmill Running","10.00","827","01:05:19","157","164","3.4","139","155","6:32","5:37","--","--","1.17","7.8","9.1","358","--","350","0.0","343","387","9,074","-18","--","No","00:03:29.7","11","--","01:04:10","01:05:21","--","--"
Treadmill Running,2025-01-14 17:19:42,false,"Treadmill Running","5.00","382","00:30:06","153","169","3.1","140","240","6:01","5:54","--","--","1.13","8.2","9.2","348","--","340","0.0","334","400","4,190","-9","--","No","00:04:29.6","5","--","00:29:31","00:30:06","--","--"
Treadmill Running,2025-01-13 16:57:54,false,"Treadmill Running","12.00","1,088","01:20:04","163","173","4.2","140","195","6:40","6:01","--","--","1.11","7.8","8.7","365","--","329","0.0","322","385","11,126","-18","--","No","00:02:04.6","13","--","01:18:46","01:20:04","--","--"
Treadmill Running,2025-01-11 16:57:41,false,"Treadmill Running","7.20","597","00:45:35","157","170","3.5","140","147","6:20","6:02","--","--","1.12","8.0","8.9","358","--","333","0.0","326","383","6,336","-11","--","No","00:00:15.5","8","--","00:44:50","00:45:35","--","--"
Treadmill Running,2025-01-10 17:49:44,false,"Treadmill Running","6.40","570","00:40:32","165","174","3.8","141","210","6:20","5:18","--","--","1.28","8.0","10.2","330","--","395","0.0","389","435","5,682","-9","--","No","00:01:27.6","8","--","00:40:07","00:40:32","--","--"
Treadmill Running,2025-01-08 16:46:00,false,"Treadmill Running","4.00","313","00:25:13","152","171","3.0","140","150","6:18","6:07","--","--","1.04","8.8","8.9","346","--","318","0.0","293","366","3,538","-5","--","No","00:02:51.4","4","--","00:23:23","00:26:11","--","--"
Running,2025-01-07 15:48:44,false,"Gölcük Running","10.01","898","01:03:27","167","177","4.2","144","150","6:20","5:47","18","19","1.09","8.7","9.5","327","6:21","352","0.0","350","504","9,112","-18","--","No","00:00:05.2","11","--","01:03:23","01:03:33","--","7"
Treadmill Running,2025-01-06 17:10:30,false,"Treadmill Running","6.00","472","00:40:03","146","166","3.2","142","146","6:40","6:02","--","--","1.06","8.5","9.0","346","--","327","0.0","323","365","5,654","-10","--","No","00:00:18.0","7","--","00:40:01","00:40:03","--","--"
Treadmill Running,2024-12-28 17:21:43,false,"Treadmill Running","10.00","881","01:03:15","163","173","3.9","146","150","6:20","5:31","--","--","1.15","8.5","9.7","319","--","368","0.0","363","410","9,218","-14","--","No","00:03:48.0","11","--","01:03:06","01:03:15","--","--"
Treadmill Running,2024-12-27 14:47:33,false,"Treadmill Running","7.28","645","00:45:03","165","174","3.8","147","150","6:11","6:00","--","--","1.07","8.8","9.4","322","--","342","0.0","327","375","6,598","-12","--","No","00:05:17.7","7","--","00:43:04","00:45:03","--","--"
Running,2024-12-25 17:12:23,false,"Tuzla Running","6.42","570","00:40:11","166","176","3.6","145","148","6:15","5:51","46","72","1.10","8.7","9.5","323","6:18","360","0.0","357","483","5,816","-9","--","No","00:02:43.3","7","--","00:40:10","00:40:11","127","168"
Running,2024-12-23 17:02:44,false,"Tuzla Running","5.11","428","00:30:07","158","175","3.4","147","153","5:53","5:31","32","56","1.15","8.5","9.8","316","5:57","385","0.0","382","492","4,414","-8","--","No","00:00:36.9","6","--","00:30:04","00:30:07","127","166"
Treadmill Running,2024-12-21 17:36:46,false,"Treadmill Running","9.50","836","01:00:06","163","174","4.1","146","148","6:20","5:42","--","--","1.11","8.6","9.6","321","--","355","0.0","353","398","8,756","-14","--","No","00:05:07.4","10","--","01:00:04","01:00:06","--","--"
Running,2024-12-19 15:35:45,false,"Tuzla Running","10.15","903","01:03:59","166","175","4.2","145","148","6:18","5:45","64","86","1.09","8.7","9.5","324","6:19","358","0.0","355","469","9,248","-17","--","No","00:00:56.5","11","--","01:03:57","01:03:59","128","166"
Running,2024-12-18 08:52:51,false,"Tuzla Running","5.27","470","00:33:12","166","175","3.5","145","148","6:18","5:44","33","58","1.09","8.7","9.5","323","6:21","358","0.0","356","449","4,810","-11","--","No","00:01:46.0","6","--","00:33:10","00:33:12","129","167"
Treadmill Running,2024-12-13 18:06:21,false,"Treadmill Running","10.00","823","01:03:16","157","169","3.6","143","150","6:20","5:46","--","--","1.10","8.7","9.5","331","--","341","0.0","336","388","8,998","-14","--","No","00:05:25.2","10","--","01:02:24","01:03:16","--","--"
Treadmill Running,2024-12-12 13:01:47,false,"Treadmill Running","6.70","533","00:40:21","158","173","3.5","149","152","6:01","5:33","--","--","1.11","8.6","9.6","314","--","361","0.0","360","412","5,972","-11","--","No","00:04:01.7","7","--","00:40:19","00:40:25","--","--"
Treadmill Running,2024-12-08 14:45:16,false,"Treadmill Running","12.00","1,112","01:20:06","165","178","4.4","144","240","6:40","5:13","--","--","1.22","8.3","10.1","321","--","385","0.0","378","443","11,464","-20","--","No","00:04:49.9","14","--","01:19:12","01:20:08","--","--"
Running,2024-12-06 17:04:30,false,"Tuzla Running","10.07","901","01:04:26","166","174","4.0","145","148","6:24","5:54","65","92","1.07","8.8","9.4","325","6:25","358","0.0","354","487","9,324","-14","--","No","00:00:24.2","11","--","01:04:25","01:04:26","127","170"
Treadmill Running,2024-12-04 08:56:01,false,"Treadmill Running","9.00","813","01:00:04","161","170","3.8","143","147","6:40","6:10","--","--","0.95","9.3","8.7","341","--","298","0.0","282","353","8,560","-19","--","No","00:06:10.6","8","--","00:57:59","01:00:04","--","--"
Running,2024-11-27 08:27:30,false,"Tuzla Running","5.15","457","00:32:25","166","178","3.4","145","150","6:18","5:33","28","58","1.08","8.7","9.4","324","6:23","352","0.0","349","443","4,692","-11","--","No","00:00:57.3","6","--","00:32:23","00:33:18","129","173"
Treadmill Running,2024-11-24 15:26:58,false,"Treadmill Running","9.50","799","01:00:06","159","169","3.7","143","150","6:20","5:38","--","--","1.09","8.7","9.5","330","--","340","0.0","337","410","8,548","-15","--","No","00:02:21.5","10","--","00:59:46","01:00:06","--","--"
Running,2024-11-22 16:13:14,false,"Tuzla Running","5.18","452","00:32:10","163","173","3.4","144","152","6:12","5:24","39","35","1.11","8.6","9.6","326","6:12","370","0.0","366","455","4,620","-8","--","No","00:01:08.1","6","--","00:32:09","00:32:10","127","140"
Treadmill Running,2024-11-20 17:02:12,false,"Treadmill Running","6.70","558","00:40:05","164","177","3.8","147","153","5:59","4:59","--","--","0.98","9.2","8.9","327","--","317","0.0","313","476","5,888","-10","--","No","00:05:03.4","6","--","00:40:03","00:40:05","--","--"
Running,2024-11-17 15:05:48,false,"Tuzla Running","12.43","1,093","01:20:06","161","172","4.2","144","147","6:27","5:36","91","117","1.07","8.8","9.4","329","6:27","355","0.0","352","478","11,508","-18","--","No","00:02:51.9","13","--","01:20:03","01:20:37","129","172"
Treadmill Running,2024-11-16 15:41:11,false,"Treadmill Running","9.50","846","01:00:15","165","176","4.3","145","149","6:20","5:14","--","--","0.90","9.5","8.6","334","--","289","0.0","287","447","8,736","-14","--","No","00:06:45.9","8","--","01:00:13","01:00:15","--","--"
Running,2024-11-13 09:00:29,false,"Tuzla Running","10.08","848","01:07:07","155","176","3.8","136","228","6:40","5:24","75","104","1.08","8.1","8.8","320","6:42","352","0.0","321","529","9,090","-19","--","No","00:00:31.8","11","--","01:07:05","01:07:07","128","171"
Running,2024-11-10 15:57:07,false,"Tuzla Running","10.03","873","01:04:12","161","171","4.0","145","150","6:24","5:57","74","102","1.07","8.8","9.4","326","6:26","353","0.0","350","468","9,260","-18","--","No","00:00:08.6","11","--","01:04:09","01:04:12","128","172"
Running,2024-11-08 08:23:41,false,"Tuzla Running","6.29","564","00:41:16","166","176","3.7","144","147","6:33","6:07","40","68","1.05","8.8","9.3","329","6:37","341","0.0","338","444","5,936","-14","--","No","00:01:58.4","7","--","00:41:15","00:41:16","128","172"
Running,2024-11-06 09:03:20,false,"Tuzla Running","10.06","910","01:07:09","163","179","4.0","136","221","6:40","5:25","66","99","1.07","8.0","8.7","319","6:46","362","0.0","332","499","9,140","-20","--","No","00:00:21.6","11","--","01:07:07","01:07:09","127","172"
Running,2024-11-02 15:52:56,false,"Tuzla Running","10.03","895","01:07:09","161","178","3.9","136","227","6:42","5:20","99","123","1.08","8.0","8.7","320","6:44","365","0.0","336","734","9,134","-14","--","No","00:00:12.3","11","--","01:07:06","01:07:25","129","172"
Running,2024-11-01 08:13:45,false,"Tuzla Running","6.03","570","00:41:18","163","175","3.4","143","147","6:51","6:30","44","72","1.02","8.8","9.0","336","6:54","343","0.0","339","460","5,894","-14","--","No","00:00:13.5","7","--","00:41:17","00:41:18","127","171"
Running,2024-10-29 15:05:32,false,"Gölcük Running","8.78","841","01:00:10","167","176","3.8","142","147","6:51","6:13","26","30","1.02","8.8","9.0","338","6:52","341","0.0","339","421","8,552","-16","--","No","00:05:28.9","9","--","01:00:08","01:00:10","-0","11"
Treadmill Running,2024-10-27 16:03:25,false,"Treadmill Running","6.50","698","00:48:15","166","181","4.2","133","240","7:25","5:08","--","--","0.83","9.0","7.4","352","--","246","0.0","214","464","6,394","-15","--","No","00:08:44.5","5","--","00:44:30","00:48:15","--","--"
Running,2024-10-25 07:52:51,false,"Tuzla Running","9.38","861","01:07:05","159","176","3.7","136","221","7:09","6:08","101","129","1.01","8.2","8.4","327","7:13","338","0.0","313","682","9,074","-22","--","No","00:02:34.2","10","--","01:07:03","01:07:05","127","171"
Running,2024-10-23 08:20:25,false,"Tuzla Running","9.36","874","01:07:32","162","178","3.8","135","221","7:13","6:00","127","158","1.01","8.3","8.4","330","7:14","338","0.0","311","609","9,096","-21","--","No","00:02:26.9","10","--","01:07:30","01:07:32","126","172"
Running,2024-10-16 08:34:10,false,"Tuzla Running","5.03","484","00:35:03","167","179","3.2","143","147","6:58","6:11","32","64","1.00","8.9","8.9","338","7:03","333","0.0","329","442","4,996","-12","--","No","00:00:11.4","6","--","00:35:02","00:35:03","128","171"
Running,2024-10-09 08:00:16,false,"Tuzla Running","9.27","844","01:07:05","155","173","3.3","135","226","7:14","6:07","118","152","1.01","8.3","8.4","331","7:20","336","0.0","308","615","9,030","-19","--","No","00:01:47.4","10","--","01:07:00","01:07:11","124","171"
Treadmill Running,2024-10-05 18:10:50,false,"Treadmill Running","5.00","526","00:35:02","168","178","3.6","140","240","7:00","3:11","--","--","0.84","8.9","7.4","378","--","257","0.0","246","721","4,886","-9","--","No","00:08:06.5","4","--","00:33:49","00:35:02","--","--"
Running,2024-10-04 07:30:56,false,"Tuzla Running","9.21","839","01:07:37","153","172","3.3","135","223","7:20","4:58","111","143","0.99","8.3","8.3","332","7:20","335","0.0","305","605","9,104","-17","--","No","00:00:39.5","13","--","01:07:32","01:07:37","126","172"
Running,2024-10-02 09:30:05,false,"Tuzla Running","8.62","769","01:03:16","150","173","3.3","133","231","7:20","5:46","85","110","1.00","8.1","8.2","329","7:22","328","0.0","297","561","8,396","-16","--","No","00:00:45.5","16","--","01:03:13","01:03:16","126","172"
Treadmill Running,2024-09-29 15:41:59,false,"Treadmill Running","4.00","423","00:30:05","161","176","3.3","139","168","7:31","7:04","--","--","0.86","8.7","7.5","378","--","261","0.0","258","338","4,178","-7","--","No","00:04:58.5","4","--","00:29:49","00:30:05","--","--"
Running,2024-09-27 07:49:44,false,"Tuzla Running","8.01","722","01:01:27","150","172","3.1","131","222","7:40","6:11","59","88","0.97","8.2","8.0","336","7:46","310","0.0","279","452","8,074","-16","--","No","00:00:00.2","16","--","01:01:22","01:01:50","129","171"
Running,2024-09-25 09:56:51,false,"Tuzla Running","8.10","731","01:02:51","152","173","3.1","132","226","7:45","6:12","80","111","0.96","8.2","8.0","336","7:48","308","0.0","279","525","8,278","-17","--","No","00:02:53.1","15","--","01:02:49","01:02:51","128","170"
Treadmill Running,2024-09-21 16:20:43,false,"Treadmill Running","8.00","796","01:02:55","156","178","3.3","131","231","7:52","5:20","--","--","0.85","8.2","6.9","383","--","244","0.0","217","460","8,182","-15","--","No","00:06:25.8","7","--","01:02:16","01:02:55","--","--"
Treadmill Running,2024-09-19 10:28:21,false,"Treadmill Running","5.80","631","00:45:37","163","183","3.6","129","237","7:52","8:16","--","--","0.78","8.4","6.1","404","--","189","0.0","158","273","5,874","-14","--","No","00:06:47.5","4","--","00:41:09","00:45:37","--","--"
Treadmill Running,2024-09-18 10:01:11,false,"Treadmill Running","5.70","616","00:45:08","161","183","3.7","129","228","7:55","5:45","--","--","0.78","8.2","6.4","400","--","186","0.0","124","420","5,818","-15","--","No","00:09:04.9","3","--","00:30:02","00:45:08","--","--"
Treadmill Running,2024-09-13 09:19:37,false,"Treadmill Running","7.70","883","01:01:04","169","187","4.4","129","240","7:56","6:19","--","--","0.77","9.2","6.9","359","--","215","0.0","182","321","7,868","-20","--","No","00:08:26.4","6","--","00:54:46","01:01:04","--","--"
Treadmill Running,2024-09-12 09:07:07,false,"Treadmill Running","4.70","595","00:40:34","170","185","4.0","123","230","8:38","8:16","--","--","0.83","8.1","6.6","390","--","209","0.0","161","271","4,998","-14","--","No","00:04:49.2","4","--","00:32:59","00:40:34","--","--"
Treadmill Running,2024-09-11 09:03:28,false,"Treadmill Running","4.50","524","00:35:43","169","188","4.2","130","330","7:56","4:43","--","--","0.89","8.4","7.4","360","--","273","0.0","235","522","4,644","-15","--","No","00:00:18.2","5","--","00:34:27","00:35:43","--","--"
Running,2024-09-09 08:16:18,false,"Gölcük Running","7.92","845","01:01:05","166","187","3.6","132","223","7:43","6:17","82","94","0.97","8.0","7.8","338","7:46","335","0.0","304","507","8,008","-18","--","No","00:02:54.3","15","--","01:01:01","01:01:05","-1","24"
Running,2024-09-04 07:45:43,false,"Gölcük Running","7.85","812","01:01:04","160","180","3.4","133","246","7:47","6:23","64","79","0.95","8.1","7.8","331","7:48","336","0.0","303","570","8,078","-17","--","No","00:02:53.9","15","--","01:01:02","01:01:04","-3","25"
Running,2024-09-02 08:53:35,false,"Gölcük Running","7.86","822","01:01:03","162","181","3.3","132","224","7:46","6:15","61","74","0.96","8.1","7.8","336","7:49","335","0.0","303","507","8,022","-17","--","No","00:02:55.9","15","--","01:01:00","01:01:03","-4","24"
Running,2024-08-31 07:00:29,false,"Kusadasi Running","8.01","816","01:01:14","155","175","3.3","133","219","7:39","6:15","43","39","0.97","8.1","7.9","332","7:40","341","0.0","308","522","8,086","-13","--","No","00:02:48.2","15","--","01:01:13","01:01:14","-3","6"
Running,2024-08-29 07:06:45,false,"Kusadasi Running","8.01","817","01:01:36","157","178","3.4","131","223","7:41","5:57","53","52","0.97","8.1","7.9","335","7:44","336","0.0","303","622","8,074","-13","--","No","00:02:57.7","15","--","01:01:33","01:01:36","-5","9"
Running,2024-08-28 06:57:31,false,"Kusadasi Running","7.92","814","01:01:09","158","179","3.3","132","225","7:43","6:31","35","35","0.96","8.1","7.9","334","7:46","337","0.0","304","513","8,058","-15","--","No","00:02:53.8","15","--","01:01:07","01:01:09","-3","4"
Running,2024-08-27 06:55:33,false,"Kusadasi Running","7.95","840","01:01:22","164","185","3.4","132","231","7:43","6:28","54","53","0.97","8.1","7.8","337","7:47","334","0.0","304","537","8,046","-16","--","No","00:02:54.1","15","--","01:01:21","01:01:22","-4","5"
Running,2024-08-26 07:02:49,false,"Kusadasi Running","6.86","735","00:53:56","162","188","3.4","128","204","7:51","5:54","33","31","0.97","7.9","7.7","338","7:53","337","0.0","294","689","6,928","-15","--","No","00:01:56.9","13","--","00:53:54","00:53:56","-3","7"
Running,2024-08-18 06:57:44,false,"Kusadasi Running","8.09","809","01:01:04","152","173","3.4","131","219","7:33","6:17","6","3","0.99","7.9","7.8","338","7:35","339","0.0","303","419","8,010","-16","--","No","00:02:55.8","15","--","01:01:02","01:01:04","-1","2"
Running,2024-08-10 06:59:44,false,"Kusadasi Running","5.93","588","00:45:02","147","170","3.0","132","150","7:35","5:56","1","2","0.98","8.1","7.9","333","7:37","338","0.0","305","443","5,934","-12","--","No","00:00:00.4","12","--","00:45:01","00:45:02","1","4"
Running,2024-08-09 06:45:00,false,"Kusadasi Running","7.84","772","01:01:08","145","166","3.1","132","219","7:48","6:28","1","2","0.96","8.1","7.8","337","7:49","326","0.0","295","440","8,018","-15","--","No","00:02:50.9","15","--","01:01:04","01:01:08","2","4"
Running,2024-08-08 06:58:56,false,"Kusadasi Running","8.01","792","01:02:06","149","169","3.2","132","222","7:45","6:16","20","22","0.96","8.1","7.8","334","7:48","331","0.0","300","525","8,174","-17","--","No","00:02:55.0","15","--","01:02:01","01:02:26","-3","5"
Running,2024-08-07 06:56:00,false,"Kusadasi Running","8.01","810","01:02:16","157","175","3.3","132","221","7:46","6:33","4","3","0.96","8.1","7.8","335","7:48","327","0.0","297","419","8,218","-17","--","No","00:02:50.4","15","--","01:02:11","01:02:16","1","4"
Running,2024-08-06 06:52:08,false,"Kusadasi Running","7.83","782","01:01:05","152","173","3.4","132","217","7:48","6:35","45","47","0.96","8.1","7.8","336","7:50","329","0.0","299","605","8,016","-17","--","No","00:02:44.7","15","--","01:01:02","01:01:05","-3","7"
Running,2024-08-04 06:55:44,false,"Kusadasi Running","8.01","804","01:01:58","153","173","3.5","132","217","7:44","6:34","5","3","0.96","8.1","7.8","332","7:46","330","0.0","298","428","8,198","-19","--","No","00:02:52.4","15","--","01:01:54","01:01:58","0","3"
Running,2024-08-03 06:59:33,false,"Kusadasi Running","8.02","803","01:02:16","154","172","3.7","132","230","7:46","6:37","21","18","0.96","8.1","7.8","335","7:47","329","0.0","299","558","8,204","-20","--","No","00:02:55.3","15","--","01:02:12","01:02:16","-2","6"
Running,2024-08-01 06:55:58,false,"Kusadasi Running","8.03","811","01:02:03","157","176","3.8","132","227","7:44","6:28","36","36","0.97","8.0","7.8","337","7:46","330","0.0","300","542","8,138","-20","--","No","00:02:56.6","15","--","01:01:59","01:02:03","-1","8"
Running,2024-07-31 06:36:19,false,"Kusadasi Running","7.82","801","01:01:21","162","181","3.8","131","223","7:51","6:40","36","37","0.96","8.0","7.7","342","7:54","323","0.0","294","572","8,026","-19","--","No","00:00:01.3","16","--","01:01:17","01:01:21","-2","7"
Running,2024-07-30 06:51:32,false,"Kusadasi Running","7.76","782","01:01:03","158","178","3.7","131","217","7:52","6:19","4","3","0.95","8.1","7.7","339","7:54","321","0.0","291","442","7,984","-19","--","No","00:02:52.6","15","--","01:01:01","01:01:03","--","3"
Running,2024-07-29 06:57:25,false,"Kusadasi Running","7.64","774","01:01:17","158","181","3.9","131","231","8:01","6:47","27","29","0.94","8.0","7.6","350","8:04","315","0.0","286","476","7,970","-23","--","No","00:02:49.3","15","--","01:01:14","01:01:17","-3","4"
