Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,2025-10-05 14:42:17,false,"Treadmill Running","8.00","729","00:51:41","161","177","4.7","143","155","6:28","6:12","--","--","1.11","8.6","9.6","329","--","345","0.0","343","361","7,370","-15","--","No","00:01:08.7","9","--","00:51:21","00:51:41","--","--"
Running,2025-10-01 21:35:20,false,"Tuzla Running","6.04","540","00:39:04","158","171","3.6","146","150","6:28","5:40","44","43","1.06","8.8","9.3","324","6:27","354","0.0","350","460","5,690","-10","--","No","00:00:16.3","7","--","00:39:02","00:39:04","128","140"
Treadmill Running,2025-09-26 18:12:55,false,"Treadmill Running","7.10","606","00:45:06","155","171","3.5","142","220","6:21","6:13","--","--","1.09","8.7","9.5","332","--","337","0.0","334","351","6,394","-10","--","No","00:06:17.6","7","--","00:44:38","00:45:06","--","--"
Running,2025-09-24 17:26:16,false,"Gölcük Running","7.77","709","00:50:04","165","177","4.0","147","152","6:27","5:52","17","18","1.05","8.8","9.3","321","6:27","350","0.0","349","475","7,364","-15","--","No","00:04:55.3","8","--","00:50:02","00:50:04","2","7"
Treadmill Running,2025-09-22 17:27:15,false,"Treadmill Running","7.00","636","00:45:15","160","177","4.1","143","154","6:28","6:15","--","--","1.07","8.8","9.4","328","--","336","0.0","332","375","6,480","-10","--","No","00:05:57.7","7","--","00:44:39","00:45:15","--","--"
Treadmill Running,2025-09-20 17:11:43,false,"Treadmill Running","6.20","570","00:40:23","161","177","4.4","143","156","6:31","5:11","--","--","1.12","8.6","9.6","326","--","352","0.0","349","444","5,772","-16","--","No","00:03:03.2","7","--","00:40:01","00:40:23","--","--"
Running,2025-09-16 07:56:30,false,"Gölcük Running","7.01","644","00:45:24","166","177","4.2","147","152","6:29","6:11","10","11","1.04","8.9","9.3","320","6:29","348","0.0","346","488","6,698","-18","--","No","00:00:03.5","8","--","00:45:22","00:45:24","2","10"
Running,2025-09-07 18:20:59,false,"Kusadasi Running","7.04","647","00:45:08","168","180","3.6","149","155","6:24","6:00","18","17","1.04","8.8","9.2","315","6:24","353","0.0","351","421","6,720","-3","--","No","00:00:17.0","8","--","00:45:06","00:45:08","-1","6"
Running,2025-09-06 07:08:41,false,"Kusadasi Running","10.07","918","01:04:52","164","178","3.9","149","153","6:27","5:54","4","2","1.04","8.9","9.2","317","6:27","344","0.0","343","400","9,622","-20","--","No","00:00:24.6","11","--","01:04:47","01:04:57","0","3"
Running,2025-09-03 06:59:43,false,"Kusadasi Running","7.02","637","00:46:04","158","171","3.4","149","153","6:34","6:19","3","3","1.02","8.9","9.1","318","6:35","346","0.0","344","386","6,842","-11","--","No","00:00:08.0","8","--","00:46:02","00:46:04","-1","3"
Running,2025-09-02 07:03:35,false,"Kusadasi Running","9.19","842","01:00:08","162","177","3.6","148","153","6:32","6:16","5","5","1.03","8.9","9.2","319","6:33","343","0.0","342","386","8,898","-16","--","No","00:01:14.8","10","--","01:00:06","01:00:08","-0","3"
Running,2025-08-20 07:07:16,false,"Kusadasi Running","7.03","624","00:45:13","153","166","3.2","149","153","6:26","6:12","4","3","1.04","8.9","9.2","315","6:27","350","0.0","349","381","6,728","-14","--","No","00:00:13.1","8","--","00:45:10","00:45:52","1","4"
Running,2025-08-19 07:02:26,false,"Kusadasi Running","9.41","827","01:00:06","153","165","3.3","149","153","6:23","5:49","2","1","1.05","8.8","9.3","315","6:23","351","0.0","350","403","8,950","-17","--","No","00:02:34.8","10","--","01:00:04","01:00:06","2","5"
Running,2025-08-17 06:56:10,false,"Kusadasi - Running","12.51","1,107","01:20:14","155","168","3.6","149","153","6:25","5:58","6","5","1.04","8.8","9.2","316","6:25","346","0.0","345","403","11,940","-24","--","No","00:03:49.9","13","--","01:20:11","01:20:14","1","6"
Running,2025-08-16 07:13:21,false,"Kusadasi - Running","7.03","633","00:45:34","157","168","3.2","148","150","6:29","6:03","2","3","1.04","8.9","9.2","320","6:29","345","0.0","344","412","6,726","-14","--","No","00:00:33.9","8","--","00:45:32","00:45:34","3","5"
Running,2025-08-14 06:59:36,false,"Kusadasi - Run","10.09","890","01:05:07","154","166","3.4","149","153","6:27","6:08","4","4","1.04","8.9","9.2","317","6:28","343","0.0","342","379","9,672","-19","--","No","00:00:07.3","12","--","01:05:06","01:05:07","--","3"
Running,2025-08-13 07:00:12,false,"Kusadasi - Running","7.09","615","00:45:05","150","162","3.2","149","153","6:22","5:27","--","2","1.05","8.8","9.3","315","6:22","348","0.0","347","429","6,706","-12","--","No","00:00:05.4","9","--","00:45:00","00:45:15","2","4"
Running,2025-08-12 06:56:07,false,"Kusadasi Running","9.47","839","01:00:13","157","172","3.6","148","155","6:22","5:13","2","1","1.06","8.8","9.3","317","6:22","350","0.0","349","454","8,918","-19","--","No","00:03:01.6","10","--","01:00:11","01:00:13","1","4"
Running,2025-08-10 06:54:44,false,"Kusadasi - Running","11.06","979","01:11:41","156","169","3.6","149","153","6:29","5:48","3","3","1.04","8.9","9.2","317","6:29","350","0.0","349","391","10,644","-21","--","No","00:01:41.3","12","--","01:11:39","01:11:41","1","4"
Running,2025-08-09 06:57:24,false,"Kusadasi - Run","7.04","619","00:45:08","154","166","3.3","148","152","6:25","6:07","2","1","1.05","8.8","9.3","319","6:26","354","0.0","353","392","6,654","-14","--","No","00:01:18.3","8","--","00:45:06","00:45:36","1","4"
Running,2025-08-07 07:07:50,false,"Kusadasi - Run","10.16","891","01:05:05","154","166","3.6","149","153","6:24","6:08","4","3","1.04","8.8","9.2","315","6:25","351","0.0","350","438","9,688","-18","--","No","00:00:04.7","12","--","01:05:03","01:05:05","0","3"
Running,2025-08-06 07:03:28,false,"Kusadasi - Running","7.03","619","00:45:32","153","166","3.3","149","153","6:29","6:12","2","1","1.03","8.9","9.2","316","6:29","342","0.0","341","379","6,772","-14","--","No","00:00:32.3","8","--","00:45:30","00:45:32","1","4"
Running,2025-08-05 06:59:45,false,"Kusadasi - Running","9.27","820","01:00:09","156","170","3.5","148","150","6:29","6:00","3","3","1.04","8.9","9.2","320","6:30","342","0.0","341","411","8,876","-19","--","No","00:00:08.9","11","--","01:00:06","01:00:09","2","5"
Running,2025-08-03 07:00:46,false,"Kusadasi - Running","11.06","988","01:11:48","160","172","3.8","147","152","6:30","5:44","14","13","1.04","8.9","9.2","321","6:29","344","0.0","344","406","10,576","-22","--","No","00:01:48.4","12","--","01:11:45","01:11:48","1","5"
Running,2025-08-02 07:00:57,false,"Kusadasi Running","6.24","551","00:40:08","156","168","3.3","146","152","6:26","6:01","2","2","1.05","8.8","9.3","321","6:27","346","0.0","345","408","5,884","-13","--","No","00:01:30.5","7","--","00:40:02","00:43:03","1","4"
Running,2025-07-30 07:13:10,false,"Gölcük Running","7.02","617","00:45:47","154","172","3.3","147","150","6:32","5:47","27","42","1.04","8.9","9.2","322","6:33","342","0.0","340","422","6,716","-14","--","No","00:00:05.6","8","--","00:45:45","00:45:47","1","26"
Running,2025-07-29 07:05:18,false,"Kocaeli Running","9.31","839","01:00:05","164","177","3.8","147","150","6:27","6:00","13","15","1.05","8.8","9.3","321","6:28","344","0.0","343","499","8,834","-17","--","No","00:02:01.0","10","--","01:00:03","01:00:05","0","9"
Running,2025-07-26 07:11:13,false,"Gölcük - Running","3.22","285","00:21:21","154","169","2.6","147","152","6:38","5:56","14","24","1.02","8.9","9.1","322","6:40","338","0.0","336","490","3,138","-6","--","No","00:01:25.3","4","--","00:21:20","00:22:42","4","25"
Running,2025-07-25 07:16:17,false,"Gölcük - Running","5.51","495","00:35:04","166","180","3.3","148","152","6:22","5:52","22","37","1.06","8.8","9.3","317","6:24","352","0.0","350","455","5,180","-12","--","No","00:00:03.6","7","--","00:35:02","00:36:06","1","25"
Running,2025-07-24 07:10:26,false,"Gölcük Running","10.47","957","01:10:06","166","177","3.7","147","152","6:42","6:00","18","21","1.01","9.0","9.1","323","6:42","334","0.0","332","485","10,324","-22","--","No","00:03:12.4","11","--","01:10:03","01:10:06","-1","9"
Running,2025-07-22 07:09:57,false,"Gölcük Running","9.25","813","01:00:05","156","171","3.5","148","153","6:30","5:57","34","47","1.04","8.9","9.2","320","6:31","350","0.0","346","465","8,856","-19","--","No","00:01:31.0","10","--","01:00:02","01:00:05","1","26"
Running,2025-07-19 17:37:44,false,"Utrecht Running","8.61","756","00:56:34","155","170","3.4","146","150","6:34","6:01","18","17","1.04","8.9","9.2","325","6:35","346","0.0","344","425","8,222","-14","--","No","00:03:56.6","9","--","00:56:28","00:57:34","-2","5"
